segment_id,relative_path,duration_sec,snr_db,sample_rate,transcript_te,is_reference_candidate
grandma_clip_0000,data\training_dataset\grandma_clip_0000.wav,4.59,40.0,24000,,False
grandma_clip_0001,data\training_dataset\grandma_clip_0001.wav,4.05,40.0,24000,,False
grandma_clip_0002,data\training_dataset\grandma_clip_0002.wav,5.61,43.14,24000,,False
grandma_clip_0003,data\training_dataset\grandma_clip_0003.wav,4.05,42.51,24000,,False
grandma_clip_0004,data\training_dataset\grandma_clip_0004.wav,4.05,40.0,24000,,False
grandma_clip_0005,data\training_dataset\grandma_clip_0005.wav,4.44,40.0,24000,,False
grandma_clip_0006,data\training_dataset\grandma_clip_0006.wav,4.05,40.0,24000,,False
grandma_clip_0007,data\training_dataset\grandma_clip_0007.wav,4.47,40.0,24000,,False
grandma_clip_0008,data\training_dataset\grandma_clip_0008.wav,7.41,40.0,24000,,False
grandma_clip_0009,data\training_dataset\grandma_clip_0009.wav,5.37,43.71,24000,,False
grandma_clip_0010,data\training_dataset\grandma_clip_0010.wav,4.05,40.0,24000,,False
grandma_clip_0011,data\training_dataset\grandma_clip_0011.wav,4.5,40.0,24000,,False
grandma_clip_0012,data\training_dataset\grandma_clip_0012.wav,5.01,52.15,24000,,False
grandma_clip_0013,data\training_dataset\grandma_clip_0013.wav,4.05,58.32,24000,,False
grandma_clip_0014,data\training_dataset\grandma_clip_0014.wav,4.05,40.0,24000,,False
grandma_clip_0015,data\training_dataset\grandma_clip_0015.wav,4.92,40.0,24000,,False
grandma_clip_0016,data\training_dataset\grandma_clip_0016.wav,4.05,40.0,24000,,False
grandma_clip_0017,data\training_dataset\grandma_clip_0017.wav,6.81,45.23,24000,,False
grandma_clip_0018,data\training_dataset\grandma_clip_0018.wav,6.21,45.28,24000,,False
grandma_clip_0019,data\training_dataset\grandma_clip_0019.wav,5.4,49.19,24000,,False
grandma_clip_0020,data\training_dataset\grandma_clip_0020.wav,7.5,47.02,24000,,False
grandma_clip_0021,data\training_dataset\grandma_clip_0021.wav,6.12,55.41,24000,ఆ పేరుతో ఇల్లు గడ్డి చేసుకున్నారంటే ఇంకా అంగడంతా యూరిని తినోడేది,True
grandma_clip_0022,data\training_dataset\grandma_clip_0022.wav,5.4,40.0,24000,,False
grandma_clip_0023,data\training_dataset\grandma_clip_0023.wav,4.05,40.0,24000,,False
grandma_clip_0024,data\training_dataset\grandma_clip_0024.wav,6.21,100.98,24000,నేనేం చెయ్యాలనుకోలేదు నేను ఇంట్లో ఇంట్లోనే దిగాల అనుకున్నా,True
grandma_clip_0025,data\training_dataset\grandma_clip_0025.wav,6.09,40.0,24000,,False
grandma_clip_0026,data\training_dataset\grandma_clip_0026.wav,4.92,40.0,24000,,False
grandma_clip_0027,data\training_dataset\grandma_clip_0027.wav,4.77,40.0,24000,,False
grandma_clip_0028,data\training_dataset\grandma_clip_0028.wav,4.47,81.61,24000,,False
grandma_clip_0029,data\training_dataset\grandma_clip_0029.wav,5.64,59.35,24000,అటనే అనుకుంటాను నాకెందుకు మడితే,True
grandma_clip_0030,data\training_dataset\grandma_clip_0030.wav,5.04,44.37,24000,,False
grandma_clip_0031,data\training_dataset\grandma_clip_0031.wav,6.09,50.97,24000,,False
grandma_clip_0032,data\training_dataset\grandma_clip_0032.wav,6.03,49.01,24000,,False
grandma_clip_0033,data\training_dataset\grandma_clip_0033.wav,4.71,51.91,24000,,False
grandma_clip_0034,data\training_dataset\grandma_clip_0034.wav,4.05,40.0,24000,,False
grandma_clip_0035,data\training_dataset\grandma_clip_0035.wav,6.87,45.64,24000,,False
grandma_clip_0036,data\training_dataset\grandma_clip_0036.wav,4.05,40.0,24000,,False
grandma_clip_0037,data\training_dataset\grandma_clip_0037.wav,4.05,59.32,24000,,False
grandma_clip_0038,data\training_dataset\grandma_clip_0038.wav,4.05,40.0,24000,,False
grandma_clip_0039,data\training_dataset\grandma_clip_0039.wav,5.07,40.0,24000,,False
grandma_clip_0040,data\training_dataset\grandma_clip_0040.wav,4.05,40.0,24000,,False
grandma_clip_0041,data\training_dataset\grandma_clip_0041.wav,4.83,50.51,24000,,False
grandma_clip_0042,data\training_dataset\grandma_clip_0042.wav,6.81,40.0,24000,,False
grandma_clip_0043,data\training_dataset\grandma_clip_0043.wav,4.92,58.54,24000,,False
grandma_clip_0044,data\training_dataset\grandma_clip_0044.wav,4.59,48.93,24000,,False
grandma_clip_0045,data\training_dataset\grandma_clip_0045.wav,5.22,40.0,24000,,False
grandma_clip_0046,data\training_dataset\grandma_clip_0046.wav,4.05,40.0,24000,,False
grandma_clip_0047,data\training_dataset\grandma_clip_0047.wav,4.08,50.99,24000,,False
grandma_clip_0048,data\training_dataset\grandma_clip_0048.wav,4.05,40.0,24000,,False
grandma_clip_0049,data\training_dataset\grandma_clip_0049.wav,4.05,40.0,24000,,False
grandma_clip_0050,data\training_dataset\grandma_clip_0050.wav,4.05,40.0,24000,,False
grandma_clip_0051,data\training_dataset\grandma_clip_0051.wav,4.14,40.0,24000,,False
grandma_clip_0052,data\training_dataset\grandma_clip_0052.wav,4.05,40.0,24000,,False
grandma_clip_0053,data\training_dataset\grandma_clip_0053.wav,4.05,40.0,24000,,False
grandma_clip_0054,data\training_dataset\grandma_clip_0054.wav,4.05,40.0,24000,,False
grandma_clip_0055,data\training_dataset\grandma_clip_0055.wav,5.52,40.0,24000,,False
grandma_clip_0056,data\training_dataset\grandma_clip_0056.wav,4.05,40.0,24000,,False
grandma_clip_0057,data\training_dataset\grandma_clip_0057.wav,4.65,40.0,24000,,False
grandma_clip_0058,data\training_dataset\grandma_clip_0058.wav,4.05,40.0,24000,,False
grandma_clip_0059,data\training_dataset\grandma_clip_0059.wav,6.42,49.62,24000,,False
grandma_clip_0060,data\training_dataset\grandma_clip_0060.wav,4.05,40.0,24000,,False
grandma_clip_0061,data\training_dataset\grandma_clip_0061.wav,4.95,40.0,24000,,False
grandma_clip_0062,data\training_dataset\grandma_clip_0062.wav,4.71,42.97,24000,,False
grandma_clip_0063,data\training_dataset\grandma_clip_0063.wav,4.38,45.8,24000,,False
grandma_clip_0064,data\training_dataset\grandma_clip_0064.wav,6.24,40.0,24000,,False
grandma_clip_0065,data\training_dataset\grandma_clip_0065.wav,5.01,40.0,24000,,False
grandma_clip_0066,data\training_dataset\grandma_clip_0066.wav,5.79,53.97,24000,,False
grandma_clip_0067,data\training_dataset\grandma_clip_0067.wav,4.2,39.77,24000,,False
grandma_clip_0068,data\training_dataset\grandma_clip_0068.wav,4.05,40.0,24000,,False
grandma_clip_0069,data\training_dataset\grandma_clip_0069.wav,4.05,111.5,24000,,False
grandma_clip_0070,data\training_dataset\grandma_clip_0070.wav,4.05,40.0,24000,,False
grandma_clip_0071,data\training_dataset\grandma_clip_0071.wav,4.05,40.0,24000,,False
grandma_clip_0072,data\training_dataset\grandma_clip_0072.wav,4.05,40.0,24000,,False
grandma_clip_0073,data\training_dataset\grandma_clip_0073.wav,4.05,40.0,24000,,False
grandma_clip_0074,data\training_dataset\grandma_clip_0074.wav,4.05,40.0,24000,,False
grandma_clip_0075,data\training_dataset\grandma_clip_0075.wav,4.05,40.0,24000,,False
